Wind Load Type,Glass Type,Glass sub-type 1,Nominal Thickness (mm),Support Condition,AR,k1,k2,k3,k4
ULS,Monolithic,Toughened,10,4-edge,1,8253.7,0.50001,-0.6124,14.55
ULS,Monolithic,Toughened,10,4-edge,1.25,7246.3,0.400008,-0.6071,-4.85
ULS,Monolithic,Toughened,10,4-edge,1.5,7101.9,0.400008,-0.6423,-78.57
ULS,Monolithic,Toughened,10,4-edge,1.75,7619.1,0.600012,-0.7112,-43.65
ULS,Monolithic,Toughened,10,4-edge,2,8131.1,0.800016,-0.7642,-38.8
ULS,Monolithic,Toughened,10,4-edge,2.5,6785.1,0.600012,-0.7255,9.7
ULS,Monolithic,Toughened,10,4-edge,3,3243.8,-0.1,-0.4881,-29.1
ULS,Monolithic,Toughened,10,4-edge,5,3212.6,0,-0.5,0
ULS,Monolithic,Toughened,10,2-edge,Independent,2868.8,0,-0.5,0
ULS,Monolithic,Toughened,12,4-edge,1,9723.8,0.481152,-0.6124,17.55
ULS,Monolithic,Toughened,12,4-edge,1.25,8538.8,0.384922,-0.6071,-5.85
ULS,Monolithic,Toughened,12,4-edge,1.5,8357.3,0.384922,-0.6423,-94.77
ULS,Monolithic,Toughened,12,4-edge,1.75,8942.2,0.577382,-0.7112,-52.65
ULS,Monolithic,Toughened,12,4-edge,2,9523.6,0.769843,-0.7642,-46.8
ULS,Monolithic,Toughened,12,4-edge,2.5,7959,0.577382,-0.7255,11.7
ULS,Monolithic,Toughened,12,4-edge,3,3839.9,-0.1,-0.4881,-35.1
ULS,Monolithic,Toughened,12,4-edge,5,3801.2,0,-0.5,0
ULS,Monolithic,Toughened,12,2-edge,Independent,3394.5,0,-0.5,0
ULS,Monolithic,Toughened,15,4-edge,1,11716.9,0.459568,-0.6124,21.75
ULS,Monolithic,Toughened,15,4-edge,1.25,10291.5,0.367655,-0.6071,-7.25
ULS,Monolithic,Toughened,15,4-edge,1.5,10056.5,0.367655,-0.6423,-117.45
ULS,Monolithic,Toughened,15,4-edge,1.75,10726.3,0.551482,-0.7112,-65.25
ULS,Monolithic,Toughened,15,4-edge,2,11396,0.735309,-0.7642,-58
ULS,Monolithic,Toughened,15,4-edge,2.5,9540.7,0.551482,-0.7255,14.5
ULS,Monolithic,Toughened,15,4-edge,3,4653.4,-0.1,-0.4881,-43.5
ULS,Monolithic,Toughened,15,4-edge,5,4604.1,0,-0.5,0
ULS,Monolithic,Toughened,15,2-edge,Independent,4111.4,0,-0.5,0
ULS,Monolithic,Toughened,19,4-edge,1,14119.6,0.437817,-0.6124,27
ULS,Monolithic,Toughened,19,4-edge,1.25,12405,0.350254,-0.6071,-9
ULS,Monolithic,Toughened,19,4-edge,1.5,12101.1,0.350254,-0.6423,-145.8
ULS,Monolithic,Toughened,19,4-edge,1.75,12864.1,0.525381,-0.7112,-81
ULS,Monolithic,Toughened,19,4-edge,2,13632.2,0.700508,-0.7642,-72
ULS,Monolithic,Toughened,19,4-edge,2.5,11434.2,0.525381,-0.7255,18
ULS,Monolithic,Toughened,19,4-edge,3,5641.5,-0.1,-0.4881,-54
ULS,Monolithic,Toughened,19,4-edge,5,5578.5,0,-0.5,0
ULS,Monolithic,Toughened,19,2-edge,Independent,4981.6,0,-0.5,0
ULS,Monolithic,Toughened,25,4-edge,1,17733.9,0.410996,-0.6124,35.25
ULS,Monolithic,Toughened,25,4-edge,1.25,15585.7,0.328797,-0.6071,-11.75
ULS,Monolithic,Toughened,25,4-edge,1.5,15170,0.328797,-0.6423,-190.35
ULS,Monolithic,Toughened,25,4-edge,1.75,16056.4,0.493195,-0.7112,-105.75
ULS,Monolithic,Toughened,25,4-edge,2,16958.2,0.657593,-0.7642,-94
ULS,Monolithic,Toughened,25,4-edge,2.5,14258.8,0.493195,-0.7255,23.5
ULS,Monolithic,Toughened,25,4-edge,3,7141.5,-0.1,-0.4881,-70.5
ULS,Monolithic,Toughened,25,4-edge,5,7056.4,0,-0.5,0
ULS,Monolithic,Toughened,25,2-edge,Independent,6301.3,0,-0.5,0
ULS,Monolithic,Heat-strengthened,3,4-edge,1,2078.2,0.4,-0.6124,4.2
ULS,Monolithic,Heat-strengthened,3,4-edge,1.25,1826.7,0.32,-0.6071,-1.4
ULS,Monolithic,Heat-strengthened,3,4-edge,1.5,1776.3,0.32,-0.6423,-22.68
ULS,Monolithic,Heat-strengthened,3,4-edge,1.75,1876.6,0.48,-0.7112,-12.6
ULS,Monolithic,Heat-strengthened,3,4-edge,2,1979.1,0.64,-0.7642,-11.2
ULS,Monolithic,Heat-strengthened,3,4-edge,2.5,1665.8,0.48,-0.7255,2.8
ULS,Monolithic,Heat-strengthened,3,4-edge,3,839.7,-0.1,-0.4881,-8.4
ULS,Monolithic,Heat-strengthened,3,4-edge,5,829.4,0,-0.5,0
ULS,Monolithic,Heat-strengthened,3,2-edge,Independent,740.7,0,-0.5,0
ULS,Monolithic,Heat-strengthened,4,4-edge,1,2734.6,0.380339,-0.6124,5.7
ULS,Monolithic,Heat-strengthened,4,4-edge,1.25,2404.4,0.304271,-0.6071,-1.9
ULS,Monolithic,Heat-strengthened,4,4-edge,1.5,2333.9,0.304271,-0.6423,-30.78
ULS,Monolithic,Heat-strengthened,4,4-edge,1.75,2457.1,0.456407,-0.7112,-17.1
ULS,Monolithic,Heat-strengthened,4,4-edge,2,2584.4,0.608543,-0.7642,-15.2
ULS,Monolithic,Heat-strengthened,4,4-edge,2.5,2179.6,0.456407,-0.7255,3.8
ULS,Monolithic,Heat-strengthened,4,4-edge,3,1111.9,-0.1,-0.4881,-11.4
ULS,Monolithic,Heat-strengthened,4,4-edge,5,1097.7,0,-0.5,0
ULS,Monolithic,Heat-strengthened,4,2-edge,Independent,980.2,0,-0.5,0
ULS,Monolithic,Heat-strengthened,5,4-edge,1,3370,0.365299,-0.6124,7.2
ULS,Monolithic,Heat-strengthened,5,4-edge,1.25,2963.6,0.292239,-0.6071,-2.4
ULS,Monolithic,Heat-strengthened,5,4-edge,1.5,2872.6,0.292239,-0.6423,-38.88
ULS,Monolithic,Heat-strengthened,5,4-edge,1.75,3015.9,0.438359,-0.7112,-21.6
ULS,Monolithic,Heat-strengthened,5,4-edge,2,3165.4,0.584478,-0.7642,-19.2
ULS,Monolithic,Heat-strengthened,5,4-edge,2.5,2673.7,0.438359,-0.7255,4.8
ULS,Monolithic,Heat-strengthened,5,4-edge,3,1377.1,-0.1,-0.4881,-14.4
ULS,Monolithic,Heat-strengthened,5,4-edge,5,1358.8,0,-0.5,0
ULS,Monolithic,Heat-strengthened,5,2-edge,Independent,1213.4,0,-0.5,0
ULS,Monolithic,Heat-strengthened,6,4-edge,1,3988.4,0.353115,-0.6124,8.7
ULS,Monolithic,Heat-strengthened,6,4-edge,1.25,3508,0.282492,-0.6071,-2.9
ULS,Monolithic,Heat-strengthened,6,4-edge,1.5,3396.3,0.282492,-0.6423,-46.98
ULS,Monolithic,Heat-strengthened,6,4-edge,1.75,3557.3,0.423738,-0.7112,-26.1
ULS,Monolithic,Heat-strengthened,6,4-edge,2,3727,0.564985,-0.7642,-23.2
ULS,Monolithic,Heat-strengthened,6,4-edge,2.5,3152.2,0.423738,-0.7255,5.8
ULS,Monolithic,Heat-strengthened,6,4-edge,3,1636.7,-0.1,-0.4881,-17.4
ULS,Monolithic,Heat-strengthened,6,4-edge,5,1614.3,0,-0.5,0
ULS,Monolithic,Heat-strengthened,6,2-edge,Independent,1441.6,0,-0.5,0
ULS,Monolithic,Heat-strengthened,8,4-edge,1,5125.6,0.334872,-0.6124,11.55
ULS,Monolithic,Heat-strengthened,8,4-edge,1.25,4509.6,0.267898,-0.6071,-3.85
ULS,Monolithic,Heat-strengthened,8,4-edge,1.5,4357.8,0.267898,-0.6423,-62.37
ULS,Monolithic,Heat-strengthened,8,4-edge,1.75,4547.8,0.401847,-0.7112,-34.65
ULS,Monolithic,Heat-strengthened,8,4-edge,2,4751.4,0.535796,-0.7642,-30.8
ULS,Monolithic,Heat-strengthened,8,4-edge,2.5,4026.9,0.401847,-0.7255,7.7
ULS,Monolithic,Heat-strengthened,8,4-edge,3,2117.3,-0.1,-0.4881,-23.1
ULS,Monolithic,Heat-strengthened,8,4-edge,5,2087,0,-0.5,0
ULS,Monolithic,Heat-strengthened,8,2-edge,Independent,1863.7,0,-0.5,0
ULS,Monolithic,Heat-strengthened,10,4-edge,1,6279.9,0.320006,-0.6124,14.55
ULS,Monolithic,Heat-strengthened,10,4-edge,1.25,5526.5,0.256005,-0.6071,-4.85
ULS,Monolithic,Heat-strengthened,10,4-edge,1.5,5331.9,0.256005,-0.6423,-78.57
ULS,Monolithic,Heat-strengthened,10,4-edge,1.75,5547,0.384008,-0.7112,-43.65
ULS,Monolithic,Heat-strengthened,10,4-edge,2,5781.4,0.51201,-0.7642,-38.8
ULS,Monolithic,Heat-strengthened,10,4-edge,2.5,4908.4,0.384008,-0.7255,9.7
ULS,Monolithic,Heat-strengthened,10,4-edge,3,2608.8,-0.1,-0.4881,-29.1
ULS,Monolithic,Heat-strengthened,10,4-edge,5,2570.1,0,-0.5,0
ULS,Monolithic,Heat-strengthened,10,2-edge,Independent,2295.1,0,-0.5,0
ULS,Monolithic,Heat-strengthened,12,4-edge,1,7398.5,0.307937,-0.6124,17.55
ULS,Monolithic,Heat-strengthened,12,4-edge,1.25,6512.2,0.24635,-0.6071,-5.85
ULS,Monolithic,Heat-strengthened,12,4-edge,1.5,6274.4,0.24635,-0.6423,-94.77
ULS,Monolithic,Heat-strengthened,12,4-edge,1.75,6510.3,0.369525,-0.7112,-52.65
ULS,Monolithic,Heat-strengthened,12,4-edge,2,6771.5,0.4927,-0.7642,-46.8
ULS,Monolithic,Heat-strengthened,12,4-edge,2.5,5757.6,0.369525,-0.7255,11.7
ULS,Monolithic,Heat-strengthened,12,4-edge,3,3088.2,-0.1,-0.4881,-35.1
ULS,Monolithic,Heat-strengthened,12,4-edge,5,3041,0,-0.5,0
ULS,Monolithic,Heat-strengthened,12,2-edge,Independent,2715.6,0,-0.5,0
ULS,Laminated,Annealed,5,4-edge,1,2432.9,0.230024,-0.6124,6.9
ULS,Laminated,Annealed,5,4-edge,1.25,2144.8,0.184019,-0.6071,-2.3
ULS,Laminated,Annealed,5,4-edge,1.5,2045.4,0.184019,-0.6423,-37.26
ULS,Laminated,Annealed,5,4-edge,1.75,2080,0.276029,-0.7112,-20.7
ULS,Laminated,Annealed,5,4-edge,2,2130.3,0.368039,-0.7642,-18.4
ULS,Laminated,Annealed,5,4-edge,2.5,1831.9,0.276029,-0.7255,4.6
ULS,Laminated,Annealed,5,4-edge,3,1053,-0.27603,-0.4881,-13.8
ULS,Laminated,Annealed,5,4-edge,5,1033.3,0,-0.5,0
ULS,Laminated,Annealed,5,2-edge,Independent,922.8,0,-0.5,0
ULS,Laminated,Annealed,6,4-edge,1,2899,0.222109,-0.6124,8.4
ULS,Laminated,Annealed,6,4-edge,1.25,2556.1,0.177687,-0.6071,-2.8
ULS,Laminated,Annealed,6,4-edge,1.5,2434.7,0.177687,-0.6423,-45.36
ULS,Laminated,Annealed,6,4-edge,1.75,2469.9,0.266531,-0.7112,-25.2
ULS,Laminated,Annealed,6,4-edge,2,2524.9,0.355375,-0.7642,-22.4
ULS,Laminated,Annealed,6,4-edge,2.5,2174.2,0.266531,-0.7255,5.6
ULS,Laminated,Annealed,6,4-edge,3,1260.2,-0.26653,-0.4881,-16.8
ULS,Laminated,Annealed,6,4-edge,5,1236.1,0,-0.5,0
ULS,Laminated,Annealed,6,2-edge,Independent,1103.9,0,-0.5,0
ULS,Laminated,Annealed,8,4-edge,1,3799.6,0.209821,-0.6124,11.4
ULS,Laminated,Annealed,8,4-edge,1.25,3351.2,0.167857,-0.6071,-3.8
ULS,Laminated,Annealed,8,4-edge,1.5,3185.6,0.167857,-0.6423,-61.56
ULS,Laminated,Annealed,8,4-edge,1.75,3219.1,0.251785,-0.7112,-34.2
